"id","dttm","temp"
1,"2024-10-31 00:00","8.446"
2,"2024-10-31 00:10","8.446"
3,"2024-10-31 00:20","8.546"
4,"2024-10-31 00:30","8.546"
5,"2024-10-31 00:40","8.546"
6,"2024-10-31 00:50","8.546"
7,"2024-10-31 01:00","8.546"
8,"2024-10-31 01:10","8.546"
9,"2024-10-31 01:20","8.644"
10,"2024-10-31 01:30","8.546"
11,"2024-10-31 01:40","8.644"
12,"2024-10-31 01:50","8.644"
13,"2024-10-31 02:00","8.644"
14,"2024-10-31 02:10","8.546"
15,"2024-10-31 02:20","8.546"
16,"2024-10-31 02:30","8.546"
17,"2024-10-31 02:40","8.546"
18,"2024-10-31 02:50","8.546"
19,"2024-10-31 03:00","8.546"
20,"2024-10-31 03:10","8.546"
21,"2024-10-31 03:20","8.546"
22,"2024-10-31 03:30","8.546"
23,"2024-10-31 03:40","8.546"
24,"2024-10-31 03:50","8.446"
25,"2024-10-31 04:00","8.348"
26,"2024-10-31 04:10","8.446"
27,"2024-10-31 04:20","8.446"
28,"2024-10-31 04:30","8.446"
29,"2024-10-31 04:40","8.446"
30,"2024-10-31 04:50","8.446"
31,"2024-10-31 05:00","8.446"
32,"2024-10-31 05:10","8.348"
33,"2024-10-31 05:20","8.348"
34,"2024-10-31 05:30","8.348"
35,"2024-10-31 05:40","8.250"
36,"2024-10-31 05:50","8.150"
37,"2024-10-31 06:00","8.052"
38,"2024-10-31 06:10","8.150"
39,"2024-10-31 06:20","8.052"
40,"2024-10-31 06:30","8.150"
41,"2024-10-31 06:40","8.150"
42,"2024-10-31 06:50","8.052"
43,"2024-10-31 07:00","8.052"
44,"2024-10-31 07:10","8.052"
45,"2024-10-31 07:20","8.150"
46,"2024-10-31 07:30","8.150"
47,"2024-10-31 07:40","8.446"
48,"2024-10-31 07:50","8.546"
49,"2024-10-31 08:00","8.348"
50,"2024-10-31 08:10","8.348"
51,"2024-10-31 08:20","8.348"
52,"2024-10-31 08:30","8.446"
53,"2024-10-31 08:40","8.348"
54,"2024-10-31 08:50","8.348"
55,"2024-10-31 09:00","8.052"
56,"2024-10-31 09:10","8.052"
57,"2024-10-31 09:20","8.052"
58,"2024-10-31 09:30","8.150"
59,"2024-10-31 09:40","8.150"
60,"2024-10-31 09:50","8.250"
61,"2024-10-31 10:00","8.250"
62,"2024-10-31 10:10","8.150"
63,"2024-10-31 10:20","8.150"
64,"2024-10-31 10:30","8.250"
65,"2024-10-31 10:40","8.150"
66,"2024-10-31 10:50","8.250"
67,"2024-10-31 11:00","8.348"
68,"2024-10-31 11:10","8.348"
69,"2024-10-31 11:20","8.446"
70,"2024-10-31 11:30","8.446"
71,"2024-10-31 11:40","8.546"
72,"2024-10-31 11:50","8.546"
73,"2024-10-31 12:00","8.743"
74,"2024-10-31 12:10","8.841"
75,"2024-10-31 12:20","8.841"
76,"2024-10-31 12:30","8.644"
77,"2024-10-31 12:40","8.546"
78,"2024-10-31 12:50","8.546"
79,"2024-10-31 13:00","8.546"
80,"2024-10-31 13:10","8.546"
81,"2024-10-31 13:20","8.546"
82,"2024-10-31 13:30","8.546"
83,"2024-10-31 13:40","8.546"
84,"2024-10-31 13:50","8.644"
85,"2024-10-31 14:00","8.644"
86,"2024-10-31 14:10","8.743"
87,"2024-10-31 14:20","8.743"
88,"2024-10-31 14:30","8.743"
89,"2024-10-31 14:40","8.743"
90,"2024-10-31 14:50","8.743"
91,"2024-10-31 15:00","8.841"
92,"2024-10-31 15:10","8.743"
93,"2024-10-31 15:20","8.743"
94,"2024-10-31 15:30","8.743"
95,"2024-10-31 15:40","8.743"
96,"2024-10-31 15:50","8.644"
97,"2024-10-31 16:00","8.644"
98,"2024-10-31 16:10","8.644"
99,"2024-10-31 16:20","8.743"
100,"2024-10-31 16:30","8.644"
101,"2024-10-31 16:40","8.743"
102,"2024-10-31 16:50","8.644"
103,"2024-10-31 17:00","8.644"
104,"2024-10-31 17:10","8.644"
105,"2024-10-31 17:20","8.546"
106,"2024-10-31 17:30","8.546"
107,"2024-10-31 17:40","8.546"
108,"2024-10-31 17:50","8.546"
109,"2024-10-31 18:00","8.546"
110,"2024-10-31 18:10","8.546"
111,"2024-10-31 18:20","8.546"
112,"2024-10-31 18:30","8.446"
113,"2024-10-31 18:40","8.446"
114,"2024-10-31 18:50","8.446"
115,"2024-10-31 19:00","8.446"
116,"2024-10-31 19:10","8.446"
117,"2024-10-31 19:20","8.446"
118,"2024-10-31 19:30","8.446"
119,"2024-10-31 19:40","8.446"
120,"2024-10-31 19:50","8.446"
121,"2024-10-31 20:00","8.446"
122,"2024-10-31 20:10","8.446"
123,"2024-10-31 20:20","8.446"
124,"2024-10-31 20:30","8.446"
125,"2024-10-31 20:40","8.446"
126,"2024-10-31 20:50","8.446"
127,"2024-10-31 21:00","8.446"
128,"2024-10-31 21:10","8.446"
129,"2024-10-31 21:20","8.446"
130,"2024-10-31 21:30","8.446"
131,"2024-10-31 21:40","8.446"
132,"2024-10-31 21:50","8.446"
133,"2024-10-31 22:00","8.446"
134,"2024-10-31 22:10","8.446"
135,"2024-10-31 22:20","8.446"
136,"2024-10-31 22:30","8.348"
137,"2024-10-31 22:40","8.348"
138,"2024-10-31 22:50","8.348"
139,"2024-10-31 23:00","8.348"
140,"2024-10-31 23:10","8.348"
141,"2024-10-31 23:20","8.348"
142,"2024-10-31 23:30","8.348"
143,"2024-10-31 23:40","8.348"
144,"2024-10-31 23:50","8.446"
145,"2024-11-01 00:00","8.446"
146,"2024-11-01 00:10","8.446"
147,"2024-11-01 00:20","8.446"
148,"2024-11-01 00:30","8.348"
149,"2024-11-01 00:40","8.250"
